C1,C2,C3,C4,C5,W1,W2,W3,Z1,Z2,RW1,RW2,RW3,X,Y
0.30471707975443135,-1.0399841062404955,0.7504511958064572,0.9405647163912139,-1.9510351886538364,,-1.8439053180757707,-0.23965767667339877,0.6582441259509683,0.6543501906997852,0.0,1.0,1.0,1,5.550983136378535
-1.302179506862318,0.12784040316728537,-0.3162425923435822,-0.016801157504288795,-0.85304392757358,-1.0906361368524866,2.8636530081230047,-1.003779503182716,0.43015123538893957,1.6913547998871625,1.0,1.0,1.0,1,-6.008623580294391
0.8793979748628286,0.7777919354289483,0.06603069756121605,1.1272412069680329,0.4675093422520456,-1.497243998415787,-2.7703714184365933,,-0.38698298506571654,-0.37443982875654513,1.0,1.0,0.0,0,1.7072217001050647
-0.8592924628832382,0.36875078408249884,-0.9588826008289989,0.8784503013072725,-0.049925910986252896,,1.0872482965982302,,-0.6590148928771701,2.439615106966113,0.0,1.0,0.0,1,-2.723193853842618
-0.18486236354526056,-0.6809295444039414,1.2225413386740303,-0.15452948206880215,-0.4283278221631072,,-0.06369107483294434,,1.534433508955616,-0.6033761150396826,0.0,1.0,0.0,0,3.3511988278555753
-0.3521335504882296,0.5323091855533487,0.36544406436407834,0.4127326115959884,0.43082100300788273,0.17283860713515653,,0.051108209260786054,-1.2046189391762103,-0.1984451462735254,1.0,0.0,1.0,0,-2.7881138820747937
2.1416476008704612,-0.4064150163846156,-0.5122427290715373,-0.8137727282478777,0.6159794225754956,-1.1082616209804854,0.4241415862542253,0.4081416255548026,0.07083138585989283,0.254883842242282,1.0,1.0,1.0,1,4.765864974975437
1.1289722927208916,-0.11394745765487507,-0.840156476962528,-0.8244812156912396,0.6505927878247011,-0.19027587075235186,,-2.2891449840734333,-1.5387535447427585,-0.7393857450285245,1.0,0.0,1.0,1,2.7330902559206915
0.7432541712034423,0.543154268305195,-0.6655097072886943,0.23216132306671977,0.11668580914072822,,,-1.448816590864702,1.2153263707776605,0.612162548032499,0.0,0.0,1.0,1,4.438884784587735
0.21868859672901295,0.8714287779481898,0.22359554877468227,0.6789135630718949,0.06757906948889146,-1.483260585332334,0.9981284289141609,1.1744541255247658,-0.6986571082716404,0.9673712174319996,1.0,1.0,1.0,0,-2.5916755599678787
0.28911939868998415,0.6312882258385404,-1.4571558198556664,-0.31967121635730134,-0.4703726542927955,1.3597695441325848,-0.6929894752243843,0.2010668410895163,0.9775201842708579,2.2237297741100646,1.0,1.0,1.0,1,5.189106111986492
-0.6388778482433419,-0.27514225122668373,1.4949413112343959,-0.8658311156932432,0.9682783545914808,0.3332689795302375,,,-0.21604235057848517,-0.673856219689803,1.0,0.0,0.0,1,2.235451242906879
-1.6828697716158048,-0.33488502998577485,0.1627530651050056,0.5862223313592781,0.711226579792855,0.1387089630493709,0.7453106377047315,-0.5715668865499346,-0.148875811579063,0.9261839054674788,1.0,1.0,1.0,0,-1.90344681016939
0.7933472351999252,-0.3487250722484376,-0.46235179266456716,0.8579758812571538,-0.1913043248816149,,0.08033801813550065,,-1.2537985029575918,0.00408883648184415,0.0,1.0,0.0,0,3.742807792436711
-1.2756863233379219,-1.1332872140034806,-0.9194522860016113,0.49716074405376404,0.14242573607056525,0.7466089029153714,0.2776974778625625,-1.1818961800008803,0.03882269452199431,1.32866657770544,1.0,1.0,1.0,1,1.3198417842221315
0.6904853540677682,-0.42725264633653426,0.15853969107671423,0.6255903939673367,-0.3093465397202384,-1.3200015670298078,,,-0.5373640046269879,-0.14686393277648221,1.0,0.0,0.0,0,-1.168394648569137
0.45677523755741145,-0.6619259410666513,-0.3630538465650718,-0.3817378939983291,-1.1958396455890397,-0.2850828263340397,-0.41680602863479177,0.22188416181577342,0.5226860300151136,-0.6150350387033522,1.0,1.0,1.0,1,3.8711475638828303
0.4869724807855818,-0.46940234020272387,0.01249411872768743,0.48074665890590895,0.4465311760299441,-1.3451885901880278,,0.612538072856861,-0.79659580211564,1.8725579289898748,1.0,0.0,1.0,0,0.21685303035478487
0.6653851089727862,-0.09848548450942361,-0.42329831204415375,-0.07971821090639905,-1.6873344339580298,,-0.3680905455649605,,0.5574989879390122,1.2155369002338638,0.0,1.0,0.0,1,5.423662892000727
-1.4471124724230873,-1.3226996123544024,-0.9972468276014818,0.3997742267234366,-0.9054790553600608,1.0449854145002533,-0.7687644745489716,-1.2758135363988738,0.7263090149277398,-0.11721514587826219,1.0,1.0,1.0,1,1.4361009835931204
